Agratas Sanand Gigafactory,Agratas Energy Storage Solutions,India
Ola Gigafactory,Ola Cell Technologies,India
Exide Energy Solutions Bengaluru Gigafactory,Exide Energy Solutions,India
Amara Raja Giga Corridor,Amara Raja Advanced Cell Technologies,India
Reliance Dhirubhai Ambani Green Energy Giga Complex Battery Gigafactory,Reliance New Energy,India
Rajesh Exports Dharwad Cell Factory,ACC Energy Storage (Rajesh Exports),India
International Battery Company Bengaluru Gigafactory,International Battery Company,India
Log9 Materials Bengaluru Cell Facility,Log9 Materials,India
Amperex Technology Sohna Cell Plant,Amperex Technology Limited,India
JSW Energy Cell Gigafactory,JSW Energy,India
Godi Energy Hyderabad Gigafactory,Godi India,India
Lucas TVS Thervoy Kandigai Cell Plant,Lucas TVS,India
