HLI Green Power,HLI Green Power (Hyundai Motor Group-LG Energy Solution),Indonesia
CATL CATIB Karawang,PT CATL Indonesia Battery (CATIB),Indonesia
REPT Battero Indonesia Battery Factory,PT REPT Battero Indonesia,Indonesia
EVE Energy Malaysia (Kulim/Kedah),EVE Energy,Malaysia
Gotion-VinES LFP gigafactory (Ha Tinh),Gotion High-Tech-VinES JV,Vietnam
Amita Technology Gigafactory (EEC),Amita Technology (Energy Absolute),Thailand
Sunwoda Chonburi cell plant,Sunwoda Automotive Energy (Thailand),Thailand
SVOLT Thailand (Sriracha),SVOLT Energy-Banpu NEXT JV,Thailand
NV Gotion Thailand,NV Gotion (Nuovo Plus-Gotion High-Tech JV),Thailand
Durapower Singapore,Durapower,Singapore
